Date,High,Low,Open,Close,Volume,Adj Close
2019-08-30,3.359999895095825,3.299999952316284,3.3499999046325684,3.3299999237060547,8323824,3.3299999237060547
2019-09-02,3.390000104904175,3.3399999141693115,3.369999885559082,3.380000114440918,18103623,3.380000114440918
2019-09-03,3.4100000858306885,3.359999895095825,3.369999885559082,3.4000000953674316,15221391,3.4000000953674316
2019-09-04,3.4700000286102295,3.390000104904175,3.4000000953674316,3.4700000286102295,25591387,3.4700000286102295
2019-09-05,3.5199999809265137,3.450000047683716,3.4800000190734863,3.4600000381469727,25403774,3.4600000381469727
2019-09-06,3.4700000286102295,3.4200000762939453,3.4600000381469727,3.430000066757202,11607671,3.430000066757202
2019-09-09,3.490000009536743,3.450000047683716,3.4700000286102295,3.4800000190734863,16187420,3.4800000190734863
2019-09-10,3.5,3.450000047683716,3.5,3.4700000286102295,11730100,3.4700000286102295
2019-09-11,3.4800000190734863,3.4000000953674316,3.4800000190734863,3.4200000762939453,28837790,3.4200000762939453
2019-09-12,3.450000047683716,3.4100000858306885,3.440000057220459,3.450000047683716,22213059,3.450000047683716
2019-09-16,3.4600000381469727,3.4100000858306885,3.450000047683716,3.440000057220459,23510189,3.440000057220459
2019-09-17,3.440000057220459,3.3299999237060547,3.440000057220459,3.3399999141693115,25729508,3.3399999141693115
2019-09-18,3.369999885559082,3.319999933242798,3.3499999046325684,3.3299999237060547,17411942,3.3299999237060547
2019-09-19,3.359999895095825,3.299999952316284,3.3499999046325684,3.3499999046325684,19663418,3.3499999046325684
2019-09-20,3.450000047683716,3.369999885559082,3.450000047683716,3.380000114440918,45924901,3.380000114440918
2019-09-23,3.369999885559082,3.2899999618530273,3.359999895095825,3.299999952316284,27295697,3.299999952316284
2019-09-24,3.319999933242798,3.2799999713897705,3.299999952316284,3.2899999618530273,21040367,3.2899999618530273
2019-09-25,3.2899999618530273,3.25,3.2899999618530273,3.259999990463257,13627460,3.259999990463257
2019-09-26,3.2699999809265137,3.240000009536743,3.259999990463257,3.240000009536743,13345783,3.240000009536743
2019-09-27,3.259999990463257,3.240000009536743,3.240000009536743,3.25,7826971,3.25
2019-09-30,3.259999990463257,3.2300000190734863,3.259999990463257,3.2300000190734863,8619581,3.2300000190734863
